"issue","subject","company","response","product_area","status","request_type","justification"
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.","Claude access lost","Claude","Your account access issue has been escalated to our support team. An administrator will review your case and assist with restoring access. You will be contacted shortly.","plans_billing","escalated","product_issue","Classified as 'product_issue' via keyword method. Product area: plans_billing. Top retrieval score: 0.192. Escalated because: High-risk keyword detected: 'restore my access'. Requires human review."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.","Test Score Dispute","HackerRank","Your issue requires further review by our support team. We have escalated your request and a specialist will contact you shortly. If urgent, please use the appropriate support channel for your product.","screen","escalated","product_issue","Classified as 'product_issue' via keyword method. Product area: screen. Top retrieval score: 0.221. Escalated because: High-risk keyword detected: 'review my answers'. Requires human review."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.","Help","Visa","Your billing/payment concern has been escalated to our billing support team. They will review your account and respond as soon as possible. For urgent payment issues, please contact your bank or card issuer directly.","dispute_resolution","escalated","product_issue","Classified as 'product_issue' via keyword method. Product area: dispute_resolution. Top retrieval score: 0.368. Escalated because: High-risk keyword detected: 'refund'. Requires human review."
"My mock interviews stopped in between, please give me the refund asap","Why are my mock interviews not working","HackerRank","Your billing/payment concern has been escalated to our billing support team. They will review your account and respond as soon as possible. For urgent payment issues, please contact your bank or card issuer directly.","interviews","escalated","product_issue","Classified as 'product_issue' via keyword method. Product area: interviews. Top retrieval score: 0.466. Escalated because: High-risk keyword detected: 'refund'. Requires human review."
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?","Give me my money","HackerRank","Your issue requires further review by our support team. We have escalated your request and a specialist will contact you shortly. If urgent, please use the appropriate support channel for your product.","community","escalated","product_issue","Classified as 'product_issue' via keyword method. Product area: community. Top retrieval score: 0.167. Escalated because: High-risk keyword detected: 'order id'. Requires human review."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms","Using HackerRank for hiring","HackerRank","Your issue requires further review by our support team. We have escalated your request and a specialist will contact you shortly. If urgent, please use the appropriate support channel for your product.","settings","escalated","product_issue","Classified as 'product_issue' via keyword method. Product area: settings. Top retrieval score: 0.167. Escalated because: InfoSec/compliance form completion requires human support."
"i can not able to see apply tab","I need to practice, submissions not working","HackerRank","Score and assessment disputes require human review by our support team. Your case has been escalated. Please note that HackerRank assessments are managed by the hiring company, and score adjustments are not within our scope.","community","escalated","product_issue","Classified as 'product_issue' via keyword method. Product area: community. Top retrieval score: 0.143. Escalated because: Low retrieval confidence (score=0.143, threshold=0.15). No relevant corpus documentation found."
"none of the submissions across any challenges are working on your website","Issue while taking the test","HackerRank","of your challenge.</p></li> <li><p>Local Editor/IDE- You will submit your solution in the HackerRank code editor, but you can use your own local editor/IDE while working.</p></li> <li><p>How to familiarize yourself with the HackerRank system- You are welcome to take this &lt;Insert Sample Test of your choice&gt; to familiarize yourself with the environment.</p></li> </ol> <p><strong>Test Expiration Date: </strong></p> <p><br /> <br /> </p> <p><strong>To begin, please click the “Start Challenge” button below.</strong></p> <p><br /> <br /> </p> <p>We wish you the best and hope you enjoy completing our challenge!</p></td> </tr> </tbody> </table> ## Preparation Checklist Your Candidates' experience is a key factor in hiring. Before or as part of inviting your Candidates to take up Tests using HackerRank, you can: - Recommend the HackerRank Sample Test to your Candidates. Candidates can find the sample test on their login page. - Suggest that they familiarize themselves with the HackerRank ","screen","replied","product_issue","Classified as 'product_issue' via keyword method. Product area: screen. Top retrieval score: 0.194. Response grounded in corpus: 'Onboarding Candidates' (hackerrank). Safe to reply — documentation available in corpus."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error","I am facing an blocker while doing compatible check","HackerRank","Score and assessment disputes require human review by our support team. Your case has been escalated. Please note that HackerRank assessments are managed by the hiring company, and score adjustments are not within our scope.","screen","escalated","bug","Classified as 'bug' via keyword method. Product area: screen. Top retrieval score: 0.118. Escalated because: Low retrieval confidence (score=0.118, threshold=0.15). No relevant corpus documentation found."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.","","HackerRank","Your issue requires further review by our support team. We have escalated your request and a specialist will contact you shortly. If urgent, please use the appropriate support channel for your product.","screen","escalated","product_issue","Classified as 'product_issue' via keyword method. Product area: screen. Top retrieval score: 0.288. Escalated because: Assessment rescheduling is handled by the hiring company, not HackerRank."
